feature,importance
char_wor,0.0004269130675113137
char_ da,0.00042606364424106963
char_that,0.00042467620888029454
char_ye,0.0004239007834842612
char_ther,0.0004238387326386219
char_ary,0.00042090858055781596
char_ith ,0.0004206242142141147
char_was,0.00041984026359896253
char_be ,0.0004185713865412443
char___,0.0004174461012427024
char_ wel,0.00041717598834000087
char_ pl,0.00041713621502468884
char_ans,0.0004142838426448714
char_ad ,0.0004136737047550577
char_ct,0.00041301830538676245
char_ks ,0.0004128094145706272
char_llow,0.0004120725595251677
have,0.0004116650748008249
char_@b,0.0004113618198810512
char_sti,0.000410611375630547
char_@d,0.0004104469385062244
char_ds ,0.00041011674682891276
char_low,0.00041000114000086686
char_ com,0.00040947073767100034
char_tin,0.00040936426670770833
char_ght,0.0004090281143826322
now,0.00040827964450829526
char_al ,0.00040699505801589797
char_hen ,0.00040655274507379034
char_een ,0.00040521154424003275
char_ cha,0.00040416538745423146
char_ ti,0.0004040959060919104
char_ fr,0.000403850567300377
char_und,0.0004036618654149457
char_ hi,0.00040349960692388635
char_ as ,0.0004034845122337635
char_nl,0.0004034747953416755
char_ook,0.000403319943498104
char_rs ,0.0004029375494932744
char_ù÷_ ,0.00040028408328294856
char_ave,0.00039840285099259303
char_ù÷â,0.0003976145342091544
char_sto,0.00039758852238616274
char_ug,0.00039751033920273795
char_est,0.0003973310257164644
char_gl,0.00039700723400777583
char_ ba,0.0003968423725146529
char_yi,0.00039452095473322513
char_som,0.0003937620390675529
char_hav,0.00039310228029596194
game,0.0003926858997721674
char_ome ,0.0003924650864218053
char_ted,0.000390372997563788
char_ up,0.00039010558348013944
char_ive ,0.00039002356639899246
char_â_,0.0003898289267984996
but,0.0003885494032301555
char_han,0.00038776407285947656
char_ew,0.0003877627138017174
char_ant,0.0003874349950293625
char_ting,0.0003873287038084465
char_ud,0.00038730235668375205
char_by,0.0003865708348181891
char_ei,0.0003857963559672403
char_sc,0.000385634236830867
char_she,0.0003852461373395943
char_way,0.0003840211141898781
char_art,0.0003835559925309885
your,0.00038334233186292045
char_ be ,0.00038287982213972856
char_cia,0.000382799959023776
char_ould,0.00038168874637622475
people,0.00038059078986296907
char_ 1,0.0003799721759626297
char_ rea,0.00037996430407051085
char_ah,0.00037977260279418377
char_very,0.0003794805398181304
char_son,0.00037930829410549383
char_tim,0.0003792421711446695
char_but ,0.00037909717171901466
char_hen,0.0003787829077233244
